entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
222,2025-04-21,Snacks,22,Quest Protein Bar (Chocolate Chip Cookie Dough),Quest Nutrition,1,bar (60g),1,200,9,3.5,10,260,22,14,1,21
223,2025-04-22,Breakfast,4,Large Egg,,1,large,2,144,10,3.2,372,142,0.8,0,0.4,12.6
224,2025-04-22,Breakfast,11,Avocado,,0.5,medium,1,120,11,1.5,0,5,6,5,0.5,1.5
225,2025-04-22,Breakfast,6,Dave's Killer Bread (21 Whole Grains),Dave's Killer Bread,1,slice (45g),2,220,3,0,0,340,44,10,10,10
226,2025-04-22,Lunch,36,Lentil Soup (homemade),,1.5,cups,1,280,4,0.5,0,650,40,15,4,18
227,2025-04-22,Lunch,6,Dave's Killer Bread (21 Whole Grains),Dave's Killer Bread,1,slice (45g),1,110,1.5,0,0,170,22,5,5,5
228,2025-04-22,Dinner,1,Grilled Chicken Breast,,4,oz,1.5,248,5.4,1.5,128,111,0,0,0,46.5
229,2025-04-22,Dinner,2,Brown Rice (cooked),,1,cup,1,216,1.8,0.4,0,10,45,3.5,0.7,5
230,2025-04-22,Dinner,8,Broccoli (steamed),,1,cup,1,55,0.6,0.1,0,64,11,5.1,2.2,3.7
231,2025-04-22,Snacks,18,Protein Shake (whey),Optimum Nutrition,1,scoop (31g),1,120,1.5,0.5,30,130,3,1,1,24
232,2025-04-22,Snacks,19,Apple,,1,medium (182g),1,95,0.3,0.1,0,2,25,4.4,19,0.5
233,2025-04-23,Breakfast,13,Oatmeal (cooked),,1,cup,1,154,2.6,0.4,0,9,27,4,1.1,5.4
234,2025-04-23,Breakfast,20,Peanut Butter (natural),Smucker's Natural,2,tbsp (32g),1,190,16,2.5,0,65,7,2,3,7
235,2025-04-23,Breakfast,3,Banana,,1,medium (118g),1,105,0.4,0.1,0,1,27,3.1,14.4,1.3
236,2025-04-23,Lunch,25,Canned Tuna (in water),StarKist,1,can (142g),1,191,1.4,0.4,60,558,0,0,0,42
237,2025-04-23,Lunch,26,Mixed Greens Salad (no dressing),,2,cups,1,18,0.2,0,0,35,3.5,1.8,0.8,1.5
238,2025-04-23,Lunch,7,Extra Virgin Olive Oil,,1,tbsp,1,119,14,1.9,0,0,0,0,0,0
239,2025-04-23,Dinner,17,Ground Turkey (93% lean),,4,oz,1.5,255,13.5,3.8,120,120,0,0,0,31.5
240,2025-04-23,Dinner,28,Spaghetti (whole wheat cooked),,1,cup,1,174,0.8,0.1,0,4,37,6.3,0.8,7.5
241,2025-04-23,Dinner,29,Marinara Sauce,Rao's Homemade,0.5,cup (125g),1,80,5,0.5,0,390,7,2,5,1
242,2025-04-23,Snacks,40,String Cheese,Sargento,1,stick (28g),2,160,12,7,30,400,2,0,0,14
243,2025-04-24,Breakfast,5,Chobani Greek Yogurt (Non-Fat Plain),Chobani,1,container (150g),1,90,0,0,5,60,6,0,4,15
244,2025-04-24,Breakfast,13,Oatmeal (cooked),,1,cup,1,154,2.6,0.4,0,9,27,4,1.1,5.4
245,2025-04-24,Breakfast,38,Honey,,1,tbsp,1,64,0,0,0,1,17,0,17,0.1
246,2025-04-24,Lunch,1,Grilled Chicken Breast,,4,oz,1.5,248,5.4,1.5,128,111,0,0,0,46.5
247,2025-04-24,Lunch,15,Baby Spinach,,2,cups (60g),2,28,0.4,0,0,94,4.4,2.6,0.6,3.4
248,2025-04-24,Lunch,7,Extra Virgin Olive Oil,,1,tbsp,1,119,14,1.9,0,0,0,0,0,0
249,2025-04-24,Dinner,41,Grilled Shrimp,,4,oz,1.5,180,2.7,0.5,255,1208,1.5,0,0,34.5
250,2025-04-24,Dinner,42,Quinoa (cooked),,1,cup,1,222,3.6,0.4,0,13,39,5.2,1.6,8.1
251,2025-04-24,Dinner,45,Steamed Vegetables (mixed),,1,cup,1,45,0.3,0.1,0,30,9,3.5,3.5,2.5
252,2025-04-24,Snacks,12,Almonds (raw),,1,oz (28g),1,164,14,1.1,0,0,6,3.5,1.2,6
253,2025-04-25,Breakfast,33,Protein Pancakes (homemade),,3,pancakes,1,320,8,2,95,480,32,3,6,30
254,2025-04-25,Breakfast,39,Blueberries (fresh),,1,cup (148g),0.5,42,0.3,0,0,1,10.5,1.8,7.5,0.6
255,2025-04-25,Lunch,32,Turkey Sandwich (whole wheat),,1,sandwich,1,350,8,2.5,45,890,42,5,6,24
256,2025-04-25,Lunch,19,Apple,,1,medium (182g),1,95,0.3,0.1,0,2,25,4.4,19,0.5
257,2025-04-25,Dinner,10,Salmon Fillet (baked),,4,oz,1,233,14,2.6,63,62,0,0,0,25
258,2025-04-25,Dinner,2,Brown Rice (cooked),,1,cup,1,216,1.8,0.4,0,10,45,3.5,0.7,5
259,2025-04-25,Dinner,8,Broccoli (steamed),,1,cup,1,55,0.6,0.1,0,64,11,5.1,2.2,3.7
260,2025-04-25,Snacks,18,Protein Shake (whey),Optimum Nutrition,1,scoop (31g),1,120,1.5,0.5,30,130,3,1,1,24
261,2025-04-25,Snacks,3,Banana,,1,medium (118g),1,105,0.4,0.1,0,1,27,3.1,14.4,1.3
262,2025-04-26,Breakfast,4,Large Egg,,1,large,2,144,10,3.2,372,142,0.8,0,0.4,12.6
263,2025-04-26,Breakfast,6,Dave's Killer Bread (21 Whole Grains),Dave's Killer Bread,1,slice (45g),2,220,3,0,0,340,44,10,10,10
264,2025-04-26,Breakfast,11,Avocado,,0.5,medium,1,120,11,1.5,0,5,6,5,0.5,1.5
265,2025-04-26,Lunch,21,Chipotle Burrito Bowl (Chicken),Chipotle,1,bowl,1,665,22,8,120,1695,60,12,5,50
266,2025-04-26,Dinner,35,Beef Stir Fry (homemade),,1.5,cups,1,380,15,4,75,780,22,4,8,35
267,2025-04-26,Dinner,24,White Rice (cooked),,1,cup,1,206,0.4,0.1,0,2,45,0.6,0.1,4.3
268,2025-04-26,Snacks,34,Trail Mix,,0.25,cup (35g),1,175,11,1.5,0,45,15,2,9,5
269,2025-04-26,Snacks,37,Iced Coffee (black),,16,oz,1,5,0,0,0,10,0,0,0,0.5
270,2025-04-27,Breakfast,13,Oatmeal (cooked),,1,cup,1,154,2.6,0.4,0,9,27,4,1.1,5.4
271,2025-04-27,Breakfast,20,Peanut Butter (natural),Smucker's Natural,2,tbsp (32g),1,190,16,2.5,0,65,7,2,3,7
272,2025-04-27,Breakfast,39,Blueberries (fresh),,1,cup (148g),1,84,0.5,0,0,1,21,3.6,15,1.1
273,2025-04-27,Lunch,1,Grilled Chicken Breast,,4,oz,1.5,248,5.4,1.5,128,111,0,0,0,46.5
274,2025-04-27,Lunch,26,Mixed Greens Salad (no dressing),,2,cups,1,18,0.2,0,0,35,3.5,1.8,0.8,1.5
275,2025-04-27,Lunch,7,Extra Virgin Olive Oil,,1,tbsp,1,119,14,1.9,0,0,0,0,0,0
276,2025-04-27,Dinner,10,Salmon Fillet (baked),,4,oz,1,233,14,2.6,63,62,0,0,0,25
277,2025-04-27,Dinner,9,Sweet Potato (baked),,1,medium (130g),1,103,0.1,0,0,41,24,3.8,7.4,2.3
278,2025-04-27,Dinner,15,Baby Spinach,,2,cups (60g),1,14,0.2,0,0,47,2.2,1.3,0.3,1.7
279,2025-04-27,Snacks,22,Quest Protein Bar (Chocolate Chip Cookie Dough),Quest Nutrition,1,bar (60g),1,200,9,3.5,10,260,22,14,1,21
280,2025-04-27,Snacks,37,Iced Coffee (black),,16,oz,1,5,0,0,0,10,0,0,0,0.5
281,2025-04-28,Breakfast,4,Large Egg,,1,large,2,144,10,3.2,372,142,0.8,0,0.4,12.6
282,2025-04-28,Breakfast,6,Dave's Killer Bread (21 Whole Grains),Dave's Killer Bread,1,slice (45g),2,220,3,0,0,340,44,10,10,10
283,2025-04-28,Breakfast,30,Cheddar Cheese,,1,oz (28g),1,113,9.3,5.3,28,176,0.9,0,0.3,7
284,2025-04-28,Lunch,1,Grilled Chicken Breast,,4,oz,1.5,248,5.4,1.5,128,111,0,0,0,46.5
285,2025-04-28,Lunch,2,Brown Rice (cooked),,1,cup,1,216,1.8,0.4,0,10,45,3.5,0.7,5
286,2025-04-28,Lunch,8,Broccoli (steamed),,1,cup,1,55,0.6,0.1,0,64,11,5.1,2.2,3.7
287,2025-04-28,Dinner,17,Ground Turkey (93% lean),,4,oz,1.5,255,13.5,3.8,120,120,0,0,0,31.5
288,2025-04-28,Dinner,28,Spaghetti (whole wheat cooked),,1,cup,1,174,0.8,0.1,0,4,37,6.3,0.8,7.5
289,2025-04-28,Dinner,29,Marinara Sauce,Rao's Homemade,0.5,cup (125g),1,80,5,0.5,0,390,7,2,5,1
290,2025-04-28,Snacks,18,Protein Shake (whey),Optimum Nutrition,1,scoop (31g),1,120,1.5,0.5,30,130,3,1,1,24
291,2025-04-28,Snacks,19,Apple,,1,medium (182g),1,95,0.3,0.1,0,2,25,4.4,19,0.5
